Transaction ID,Merchant ID,Amount,Capture Method,Payment Method,Exact Date,Card Number,Card Holder Name,Installments,Card Brand,Issuer Bank,Issuer Country,Transaction Status,Transaction Type,Merchant Category Code (MCC),Currency,Fraud Indicator,Transaction Date,Transaction Time,Merchant City,Merchant State
TX00001,M0001,123.2,Online,Debit Card,2024-05-02 21:36:29,4224135838947196,Michael Smith,9,Discover,Citibank,Australia,Pending,Chargeback,1130,CAD,1,2024-05-02,21:36:29,New Justin,Delaware
TX00002,M0002,202.98,Online,Debit Card,2024-12-16 08:03:26,3576327301506437,Stephanie Lee,1,American Express,Chase,USA,Pending,Refund,9183,EUR,1,2024-12-16,08:03:26,Nguyenburgh,Vermont
TX00003,M0003,978.52,ATM,Credit Card,2025-01-03 21:41:14,2542511588067394,Joel Gutierrez,6,Visa,Bank of America,USA,Pending,Purchase,8843,EUR,1,2025-01-03,21:41:14,Figueroaville,Iowa
TX00004,M0004,668.49,POS,Credit Card,2024-07-08 02:05:52,180008078682726,Dr. Jacob Wilson Jr.,7,Discover,Wells Fargo,USA,Declined,Purchase,2195,CAD,0,2024-07-08,02:05:52,Jonathanfurt,Massachusetts
TX00005,M0005,99.68,ATM,Credit Card,2024-07-03 21:09:44,6011972544987872,Anthony Mcdaniel,1,American Express,HSBC,UK,Approved,Purchase,1269,EUR,1,2024-07-03,21:09:44,West John,Oklahoma
TX00006,M0006,201.92,POS,Debit Card,2025-03-02 04:02:58,30494346554578,Rhonda Soto,10,American Express,HSBC,USA,Approved,Purchase,5226,USD,0,2025-03-02,04:02:58,Port Melissa,Ohio
TX00007,M0007,200.64,Online,Debit Card,2024-12-20 20:55:39,3526711040856099,Jennifer Perkins,4,American Express,Citibank,Germany,Approved,Purchase,3437,AUD,1,2024-12-20,20:55:39,Nicolefort,Washington
TX00008,M0008,135.22,ATM,Debit Card,2024-03-16 18:58:50,375093424491340,Erica Bennett,5,Visa,Bank of America,Canada,Declined,Chargeback,7813,CAD,0,2024-03-16,18:58:50,Smithville,Montana
TX00009,M0009,457.36,Online,Debit Card,2024-05-29 02:38:04,370232168041029,Donald Holmes,12,American Express,HSBC,Australia,Declined,Refund,9422,EUR,1,2024-05-29,02:38:04,Rossstad,Alaska
TX00010,M0010,326.75,ATM,Credit Card,2024-09-19 12:03:53,3584514844014439,Lisa Butler,7,Discover,HSBC,Canada,Pending,Purchase,5189,EUR,0,2024-09-19,12:03:53,Christopherberg,West Virginia
